ts,ifHCInOctets_rate,ifHCOutOctets_rate,ifInErrors_rate,ifOutErrors_rate,ifInDiscards_rate,ifOutDiscards_rate,ifHCInUcastPkts_rate,ifHCOutUcastPkts_rate,ifHCInOctets,ifHCOutOctets,ifInErrors,ifOutErrors,ifInDiscards,ifOutDiscards,ifHCInUcastPkts,ifHCOutUcastPkts
1749060987270379,0.002477716613218824,0.02854579392204208,0.0,0.0,3.972238094163857e-7,0.0,0.000019348109716989788,0.00002005980237552748,906843407,3448164061,0,0,223498,0,4322244,2417758
1749061047478313,0.002517276211470734,0.02497242306969045,0.0,0.0,3.986185608029666e-7,0.0,0.000018851336104640294,0.000017472780248530036,906994967,3449667599,0,0,223522,0,4323379,2418810
1749061107797995,0.002082056732328264,0.025206813921863844,0.0,0.0,3.978800816622342e-7,0.0,0.00001661149340939828,0.000017755398644177204,907120556,3451188066,0,0,223546,0,4324381,2419881
1749061168006237,0.002030934568725657,0.02476621057960802,0.0,0.0,3.986165216383498e-7,0.0,0.000017838089343316153,0.000017190337495653833,907242835,3452679196,0,0,223570,0,4325455,2420916
1749061228119281,0.0024903413641804597,0.025416779759148446,0.0,0.0,3.992477905460918e-7,0.0,0.00001789960927614978,0.000017849703302331522,907392537,3454207076,0,0,223594,0,4326531,2421989
1749061291299124,0.002068032995903456,0.026766131723372596,0.0,0.0,3.956958234290009e-7,0.0,0.00001753723889437332,0.000018676842865848844,907523195,3455898156,0,0,223619,0,4327639,2423169
1749061351402386,0.0019685786771440126,0.023193616346480494,0.0,0.0,3.993127694134139e-7,0.0,0.00001652156583448,0.00001638846157800886,907641513,3457292168,0,0,223643,0,4328632,2424154
1749061411498249,0.0020005370419591112,0.02642552949110657,0.0,0.0,3.9936193278395887e-7,0.0,0.000016789841257458936,0.00001845384931072543,907761737,3458880233,0,0,223667,0,4329641,2425263
1749061471613991,0.002255981469878555,0.022753807147552135,0.0,0.0,3.9922987226873123e-7,0.0,0.00001671775090125312,0.00001606900235881643,907897357,3460248095,0,0,223691,0,4330646,2426229
1749061531725163,0.0020203565486961394,0.025136359011599375,0.0,0.0,3.9926022403955126e-7,0.0,0.000016918651993675984,0.000017633993228413515,908018803,3461759071,0,0,223715,0,4331663,2427289
1749061591837013,0.0020745160895896566,0.02514179816458818,0.0,0.0,3.8262006576074437e-7,0.0,0.000017234538614266572,0.00001771697261022577,908143506,3463270391,0,0,223738,0,4332699,2428354
1749061652146239,0.0019753030821519748,0.024147300447861824,0.0,0.0,3.9794906338211004e-7,0.0,0.000016680698240100114,0.000016863091560816913,908262635,3464726696,0,0,223762,0,4333705,2429371
1749061712456877,0.001987228190157763,0.025931743583942853,0.0,0.0,4.145205693231101e-7,0.0,0.00001769173789871034,0.000018156000936352223,908382486,3466290656,0,0,223787,0,4334772,2430466
1749061772744493,0.002085668804684531,0.02509906843886479,0.0,0.0,3.8150455310755695e-7,0.0,0.000018295631394679796,0.00001783119106915755,908508226,3467803819,0,0,223810,0,4335875,2431541
1749061832858936,0.0019956601777047158,0.02203200984495523,0.0,0.0,3.99238499140714e-7,0.0,0.000017583128899655612,0.000015537031591559454,908628194,3469128261,0,0,223834,0,4336932,2432475
1749061892974540,0.0023318737677492187,0.023632449904354282,0.0,0.0,3.9923078873165775e-7,0.0,0.000017799039330953076,0.000016568077732363797,908768376,3470548940,0,0,223858,0,4338002,2433471
1749061953085471,0.0024409703453104063,0.02337831034425336,0.0,0.0,3.8262591540962824e-7,0.0,0.000017950146205521254,0.000016436278453248377,908915105,3471954232,0,0,223881,0,4339081,2434459
1749062013213658,0.0021268228160612923,0.024328074285692333,0.0,0.0,3.9914724187509596e-7,0.0,0.000017712158858207383,0.000017179962535707256,909042987,3473417035,0,0,223905,0,4340146,2435492
1749062073327384,0.0025314018964653763,0.02759998606641019,0.0,0.0,3.992432610149635e-7,0.0,0.000019629460333235707,0.000019413203566852603,909195159,3475076173,0,0,223929,0,4341326,2436659
1749062133438712,0.0023829119196967334,0.023311745832665685,0.0,0.0,3.826233883902881e-7,0.0,0.00001796666345484831,0.00001658589209674423,909338399,3476477473,0,0,223952,0,4342406,2437656
1749062193643490,0.0023056807883254714,0.02804285732936346,0.0,0.0,3.986394568218489e-7,0.0,0.000019151303904816324,0.00001961638327110848,909477212,3478165787,0,0,223976,0,4343559,2438837
1749062253845940,0.0024198849050163242,0.024936011740385983,0.0,0.0,3.986548720193281e-7,0.0,0.00001832151349322162,0.000017457761270513078,909622895,3479666996,0,0,224000,0,4344662,2439888
1749062314031880,0.0025997267800419834,0.02522650639003063,0.0,0.0,3.987642296523075e-7,0.0,0.000018692073264951916,0.000017661932338350118,909779362,3481185277,0,0,224024,0,4345787,2440951
1749062374141587,0.002630340553814378,0.024424740583080865,0.0,0.0,3.8263370673225874e-7,0.0,0.000019464410298988814,0.00001711869931423888,909937471,3482653441,0,0,224047,0,4346957,2441980
1749062434249571,0.0020465500889199676,0.023673111379014143,0.0,0.0,3.8264467495699075e-7,0.0,0.00001650363119814499,0.000016653361723128164,910060485,3484076384,0,0,224070,0,4347949,2442981
1749062494566419,0.002116622539692392,0.023643029224604043,0.0,0.0,3.978987761429443e-7,0.0,0.000017723074654033646,0.000016744906829348908,910188153,3485502457,0,0,224094,0,4349018,2443991
1749062554677338,0.001965815894446731,0.025932293598771965,0.0,0.0,3.992619044802825e-7,0.0,0.000016902087289665295,0.00001821632439191289,910306320,3487061271,0,0,224118,0,4350034,2445086
1749062614787616,0.0020239633561501746,0.027214846685620055,0.0,0.0,3.992661621029269e-7,0.0,0.00001831633518647177,0.000018931870519713784,910427981,3488697163,0,0,224142,0,4351135,2446224
1749062674997106,0.0020474014976708823,0.02438027626541929,0.0,0.0,3.98608259262784e-7,0.0,0.000017422502665277515,0.000017040503083484017,910551254,3490165087,0,0,224166,0,4352184,2447250
1749062735108185,0.0019870546659127514,0.02341776297178096,0.0,0.0,3.992608417493221e-7,0.0,0.000016735683616659084,0.00001660259666940931,910670698,3491572754,0,0,224190,0,4353190,2448248
1749062795317758,0.002379222985022664,0.027141032871965395,0.0,0.0,3.819990552000759e-7,0.0,0.000018568475813638472,0.0000189006489051168,910813950,3493206904,0,0,224213,0,4354308,2449386
1749062855434059,0.0022510034341600626,0.02402830806240058,0.0,0.0,3.992261599728167e-7,0.0,0.00001698374622217691,0.000016850670835519305,910949272,3494651397,0,0,224237,0,4355329,2450399
1749062915544697,0.0020505688194492294,0.028485307376042157,0.0,0.0,3.9926377091522467e-7,0.0,0.000017700693843908296,0.000019796828641213224,911072533,3496363667,0,0,224261,0,4356393,2451589
1749062975658526,0.002018387482853571,0.025613291078164395,0.0,0.0,3.992425769451485e-7,0.0,0.000016768188231696237,0.000018049091499395256,911193866,3497903380,0,0,224285,0,4357401,2452674
1749063035963416,0.002261027256661939,0.02357468855344898,0.0,0.0,3.9797767643718447e-7,0.0,0.000016764809619916394,0.00001673164481354663,911330217,3499325049,0,0,224309,0,4358412,2453683
1749063096077548,0.002469236351944664,0.02484197892102975,0.0,0.0,4.1587558812293923e-7,0.0,0.000019446342500628637,0.000017400234607063776,911478653,3500818403,0,0,224334,0,4359581,2454729
1749063156282368,0.0020966925903939254,0.025144564837167524,0.0,0.0,3.98639178723564e-7,0.0,0.000017656393624297855,0.00001768961355585815,911604884,3502332227,0,0,224358,0,4360644,2455794
1749063216390769,0.0022533954945831948,0.024085551701832828,0.0,0.0,3.9927862995390613e-7,0.0,0.000018649639340763698,0.000016869522115552535,911740332,3503779971,0,0,224382,0,4361765,2456808
1749063276505894,0.0022578178120730846,0.02528486799287201,0.0,0.0,3.825992210778901e-7,0.0,0.000018630918591619,0.000017815815903235668,911876061,3505299974,0,0,224405,0,4362885,2457879
1749063336618562,0.002196059572667778,0.021707770481922378,0.0,0.0,3.992502878095512e-7,0.0,0.000017866450379477417,0.000015204781794080408,912008072,3506604886,0,0,224429,0,4363959,2458793
1749063396731908,0.0024238045242066545,0.023092941790330553,0.0,0.0,3.992457847879571e-7,0.0,0.00001796606031545807,0.000016219360007010756,912153775,3507993080,0,0,224453,0,4365039,2459768
1749063456842598,0.002065256612426176,0.026667253362089173,0.0,0.0,3.8262744946032063e-7,0.0,0.000018166485861333484,0.000018798652951746188,912277919,3509596067,0,0,224476,0,4366131,2460898
1749063519955057,0.0020081613362585033,0.02428537921490272,0.0,0.0,3.802735684882758e-7,0.0,0.00001812637343127448,0.000017159844778033445,912404659,3511128777,0,0,224500,0,4367275,2461981
1749063580122761,0.0020561362953121828,0.02581557707437199,0.0,0.0,3.988850895822782e-7,0.0,0.000018764219422433004,0.000018199132212191444,912528372,3512682041,0,0,224524,0,4368404,2463076
1749063640236894,0.0020390546096705747,0.023684996005847742,0.0,0.0,3.82605534708452e-7,0.0,0.00001796582510804905,0.000016585118178448985,912650948,3514105844,0,0,224547,0,4369484,2464073
1749063700445202,0.002605005940376202,0.02310448584603972,0.0,0.0,3.8200708114900026e-7,0.0,0.000018004159824587662,0.000016343259471765924,912807791,3515496926,0,0,224570,0,4370568,2465057
1749063760556444,0.0020939843498825063,0.02168181785363876,0.0,0.0,3.992597590979737e-7,0.0,0.000017018447231551128,0.000015271685785497495,912933663,3516800247,0,0,224594,0,4371591,2465975
1749063820769467,0.002189891711631884,0.02492371127089899,0.0,0.0,3.985848709173761e-7,0.0,0.00001732183418195097,0.000017388264993770535,913065523,3518300979,0,0,224618,0,4372634,2467022
1749063880979449,0.002314134556625511,0.02493531720371549,0.0,0.0,3.8199646032114744e-7,0.0,0.000018618175305217662,0.00001747218592425422,913204857,3519802334,0,0,224641,0,4373755,2468074
